Valence, Arousal
0.3848692, 0.6863707
0.3845592, 0.6939721
0.3845066, 0.7151997
0.3845066, 0.7151997
0.3791881, 0.737421
0.3759704, 0.7443647
0.3661866, 0.755654
0.3510956, 0.7648157
0.3363221, 0.7755561
0.3246477, 0.7885903
0.314831, 0.7964631
0.3013336, 0.8012412
0.2931573, 0.8042998
0.2672725, 0.8182672
0.2601184, 0.8262028
0.24559, 0.8398109
0.2172678, 0.8509252
0.2118637, 0.8528454
0.2052562, 0.8546494
0.2021347, 0.8539634
0.2005236, 0.8534071
0.2001533, 0.8521343
0.1999576, 0.8487707
0.2000295, 0.8563784
0.1995527, 0.8644246
0.1990037, 0.8723562
0.1980393, 0.8801274
0.1974139, 0.889944
0.1956109, 0.8920168
0.1939199, 0.8827924
0.1924528, 0.8708327
0.1922576, 0.8701956
0.1920155, 0.8668088
0.1917848, 0.8605465
0.1916916, 0.8561791
0.1916375, 0.8548178
0.1919964, 0.8532718
0.1926363, 0.852251
0.1936916, 0.8517935
0.1941135, 0.8516257
0.1948024, 0.8511487
0.1953466, 0.8508695
0.1957426, 0.8508465
0.1959434, 0.85087
0.196101, 0.8509588
0.196101, 0.8509588
0.1960301, 0.8513231
0.195931, 0.8515548
0.1958628, 0.8517164
0.1958262, 0.8518506
0.195759, 0.8519635
0.1956807, 0.8521288
0.1955635, 0.8524853
0.195451, 0.8529977
0.1953974, 0.8532035
0.1952605, 0.8537594
0.1951194, 0.8541428
0.195012, 0.8542753
0.1949556, 0.8532744
0.1949325, 0.8525466
0.1945239, 0.8441253
0.2265084, -0.3289285
0.2287323, -0.3363662
0.2292413, -0.3361258
0.2300287, -0.3338101
0.2301465, -0.3313106
0.2302021, -0.3237348
0.2299528, -0.3144459
0.2290945, -0.29256
0.226449, -0.2585939
0.2231959, -0.2005978
0.221668, -0.1134946
0.2219501, -0.06657102
0.2527719, 0.02979534
0.2750501, 0.1168508
0.2797818, 0.1843952
0.2816533, 0.2386038
0.2846393, 0.279165
0.2852071, 0.2938836
0.2837842, 0.324229
0.2812228, 0.3748754
0.2812228, 0.3748754
0.277912, 0.4128885
0.2724136, 0.4308796
0.2637019, 0.4480461
0.2590223, 0.456756
0.2481393, 0.4739168
0.2357067, 0.483512
0.2290814, 0.493841
0.2255738, 0.5027485
0.2241264, 0.5063182
0.2203133, 0.5154308
0.2196874, 0.5180071
0.218781, 0.5219241
0.2179159, 0.5257959
0.2179159, 0.5257959
0.2176365, 0.527246
0.2173629, 0.5283815
0.2171057, 0.5292815
0.2169814, 0.5296424
0.2165551, 0.5306504
0.2164282, 0.5310068
0.2161522, 0.5319555
0.2155409, 0.5338156
0.2140059, 0.5360187
0.2132318, 0.5373623
0.2117982, 0.5400839
0.2104612, 0.5434262
0.2085609, 0.548764
0.2079411, 0.5507308
0.2065826, 0.5551751
0.2049388, 0.5601314
0.2031461, 0.5657652
0.2022053, 0.568327
0.2003278, 0.5729869
0.1981365, 0.5768708
0.1961797, 0.5803529
0.1951093, 0.5820424
0.1925423, 0.5867369
0.1910406, 0.5892953
0.1880228, 0.598009
0.1844162, 0.6062378
0.1820172, 0.6138754
0.1820172, 0.6138754
0.173788, 0.6277588
0.1711557, 0.6254031
0.1694638, 0.6219203
0.1688165, 0.6202869
0.168758, 0.6199896
0.1689027, 0.6192448
0.1692631, 0.6189204
0.1695026, 0.6188184
0.1697405, 0.6186929
0.1698662, 0.6186106
0.17024, 0.6182925
0.1706424, 0.6176471
0.1711379, 0.6171016
0.171279, 0.616973
0.1715841, 0.6167468
0.1717215, 0.6166527
0.1719532, 0.616474
0.1721901, 0.6163843
0.1722809, 0.6165711
0.1719805, 0.616928
0.1714804, 0.6174709
0.1697059, 0.6194161
0.1690839, 0.6200426
0.1678923, 0.6216245
0.1667313, 0.6234537
0.1656467, 0.6251588
0.1640901, 0.6277323
0.1636208, 0.6287069
0.163175, 0.6297054
0.1623428, 0.6318057
0.1617512, 0.6341423
0.1616143, 0.6367134
0.1619887, 0.639421
0.1624493, 0.6407482
0.164021, 0.6433567
0.1658296, 0.6457778
0.1675729, 0.6479421
0.1688225, 0.6496378
0.1697272, 0.650683
0.1704559, 0.6514131
0.1710397, 0.6517305
0.1712974, 0.6517541
0.1717339, 0.6517091
0.1722259, 0.6514993
0.1733549, 0.65122
0.1754184, 0.6510108
0.177812, 0.6508193
0.1807037, 0.6506038
0.1839826, 0.6501576
0.1856651, 0.649942
0.1891383, 0.6494142
0.1928249, 0.6487986
0.1964642, 0.6481757
0.199928, 0.6475366
0.203135, 0.6468438
0.2045735, 0.6465228
0.2071079, 0.6458551
0.2091019, 0.645335
0.2106656, 0.645018
0.2118041, 0.6450211
0.212227, 0.6451036
0.2128501, 0.6456364
0.2131396, 0.6463201
0.2132445, 0.6470262
0.213395, 0.6480199
0.2135114, 0.6493369
0.2136206, 0.6505737
0.2137768, 0.6464377
