Valence, Arousal
-0.9869254, 0.1637222
-0.98694, 0.1635505
-0.9869541, 0.1634163
-0.9869702, 0.1632772
-0.9869854, 0.1631642
-0.9870027, 0.1630442
-0.9870214, 0.1628758
-0.9870607, 0.1625536
-0.9870607, 0.1625536
-0.9870607, 0.1625536
-0.9870793, 0.1624155
-0.9871171, 0.1621605
-0.9871383, 0.1620247
-0.9871585, 0.1619048
-0.987178, 0.1617856
-0.9871994, 0.1616543
-0.9872222, 0.1615278
-0.9872716, 0.1612661
-0.9872983, 0.1611234
-0.9873236, 0.1609944
-0.9873236, 0.1609944
-0.9873483, 0.1608669
-0.9873483, 0.1608669
-0.987372, 0.1607648
-0.9873975, 0.1606582
-0.9874218, 0.1605539
-0.9874452, 0.1604998
-0.987468, 0.1604358
-0.9874924, 0.1603725
-0.9875157, 0.1603093
-0.9875333, 0.1603149
-0.9875512, 0.1603084
-0.987585, 0.1602995
-0.9876011, 0.1602894
-0.9876341, 0.1602552
-0.9876341, 0.1602552
-0.987653, 0.1602185
-0.987653, 0.1602185
-0.987653, 0.1602185
-0.987666, 0.1602458
-0.9876793, 0.1602609
-0.9876897, 0.1603103
-0.9877001, 0.1603418
-0.9877199, 0.1603913
-0.9877267, 0.160435
-0.9877338, 0.1604797
-0.9877406, 0.1605134
-0.9877578, 0.160572
-0.9877657, 0.1605962
-0.9877734, 0.1606171
-0.9877924, 0.1605827
-0.9878011, 0.1605791
-0.9878121, 0.1605488
-0.9878222, 0.160512
-0.9878345, 0.1604496
-0.987846, 0.1604052
-0.9878677, 0.1603056
-0.987878, 0.1602575
-0.9878905, 0.1601888
-0.9879158, 0.1600272
-0.9879286, 0.1599408
-0.9879409, 0.1598667
-0.9879529, 0.1597971
-0.9879707, 0.1597357
-0.9879775, 0.1597102
-0.987984, 0.1596996
-0.9879928, 0.1596794
-0.9880008, 0.1596584
-0.988011, 0.1595901
-0.9880251, 0.1594912
-0.9880296, 0.1594862
-0.9880343, 0.1594844
-0.9880388, 0.1594844
-0.9880492, 0.1594832
-0.9880556, 0.1594848
-0.9880564, 0.1595416
-0.988058, 0.15958
-0.988054, 0.1597112
-0.988054, 0.1597112
-0.9880444, 0.1598715
-0.9880444, 0.1598715
-0.9880357, 0.1600406
-0.9880274, 0.1601861
-0.9880233, 0.16025
-0.9880145, 0.160367
-0.9880067, 0.1604777
-0.9879893, 0.160694
-0.9879826, 0.1607855
-0.9879576, 0.1610918
-0.9879576, 0.1610918
-0.9879351, 0.1613517
-0.9879351, 0.1613517
-0.9879076, 0.1616916
-0.987897, 0.1618349
-0.9878889, 0.1619608
-0.987875, 0.1621633
-0.9878717, 0.1621463
-0.987869, 0.1621125
-0.987869, 0.1621125
-0.9878675, 0.1620998
-0.987866, 0.1620808
-0.9878647, 0.1620722
-0.9878608, 0.1620626
-0.987855, 0.1620646
-0.9878423, 0.1620997
-0.987833, 0.1621673
-0.9878219, 0.1622728
-0.9878114, 0.1623735
-0.9877793, 0.1626993
-0.9877599, 0.1628858
-0.9877411, 0.1630477
-0.9877105, 0.1633376
-0.9876829, 0.1635836
-0.9876587, 0.163788
-0.9876184, 0.164147
-0.9875998, 0.1643048
-0.9875844, 0.1644169
-0.9875714, 0.1643559
-0.9875503, 0.1641895
-0.9875426, 0.1640901
-0.987534, 0.1637922
-0.987533, 0.1633431
-0.9875317, 0.1630623
-0.9875305, 0.1628274
-0.9875293, 0.1626024
-0.9875293, 0.1626024
-0.9875271, 0.1623308
-0.9875261, 0.1622806
-0.9875251, 0.1622524
-0.9875217, 0.1622788
-0.9875188, 0.1623218
-0.9875159, 0.1623556
-0.9875129, 0.162399
-0.9875079, 0.1625307
-0.987506, 0.1626154
-0.987506, 0.1627776
-0.9875058, 0.1628592
-0.9875057, 0.1629353
-0.9875099, 0.1630469
-0.9875118, 0.1631012
-0.987516, 0.1631452
-0.9875279, 0.1631688
-0.9875279, 0.1631688
-0.9875359, 0.1631702
-0.9875432, 0.1631763
-0.9875552, 0.1631722
-0.9875595, 0.1631629
-0.9875709, 0.163103
-0.9875772, 0.1630562
-0.9875858, 0.1629748
-0.9876013, 0.162835
-0.9876013, 0.162835
-0.9876013, 0.162835
-0.9876063, 0.162783
-0.9876091, 0.1627688
-0.9876097, 0.1628327
-0.9876072, 0.1630418
-0.9876038, 0.1631838
-0.9876008, 0.1633078
-0.9875857, 0.1635479
-0.9875631, 0.1638483
-0.9875531, 0.1639795
-0.987546, 0.1641005
-0.9875411, 0.1642092
-0.987536, 0.164312
-0.987536, 0.164312
-0.987531, 0.1644084
-0.9875126, 0.1646297
-0.9875017, 0.1647315
-0.9874892, 0.1648693
-0.9874774, 0.1649846
-0.9874594, 0.1650374
-0.9874531, 0.1649361
-0.9874466, 0.1648764
-0.9874428, 0.1647187
-0.9874347, 0.1644836
-0.9874308, 0.1643896
-0.9874272, 0.1643005
-0.9874237, 0.1642115
-0.9874169, 0.1640686
-0.9874137, 0.1640084
-0.9874137, 0.1640084
-0.9874032, 0.163935
-0.9874008, 0.1637708
-0.9874006, 0.163622
-0.9874025, 0.1633971
-0.9874039, 0.163241
-0.9874039, 0.163241
-0.9874078, 0.1630581
-0.9874136, 0.1628629
-0.9874188, 0.1626754
-0.9874239, 0.1624983
-0.9874381, 0.1620879
-0.9874447, 0.1619297
-0.9874437, 0.1619588
-0.9874464, 0.1619348
-0.9874484, 0.1619881
-0.987451, 0.1620089
-0.9874596, 0.1620591
-0.9874611, 0.1621275
-0.9874653, 0.1621734
-0.9874691, 0.1622569
-0.9874694, 0.1624818
-0.9874665, 0.1626072
-0.9874665, 0.1627002
-0.9874637, 0.1627992
-0.9874589, 0.1629853
-0.9874567, 0.1630725
-0.9874521, 0.1631969
-0.9874396, 0.1634496
-0.9874364, 0.1635546
-0.9874352, 0.1636548
-0.9874254, 0.1638615
-0.9874201, 0.1639599
-0.9874175, 0.1640493
-0.9874092, 0.1642091
-0.9874092, 0.1642091
-0.9874022, 0.1643352
-0.9873973, 0.1643917
-0.9873928, 0.1644399
-0.9873869, 0.1643669
-0.9873849, 0.1642853
-0.9873855, 0.1641455
-0.9873881, 0.1638375
-0.9873902, 0.1636561
-0.9873922, 0.1635103
-0.9873943, 0.1633745
-0.9874026, 0.1630119
-0.9874088, 0.1628298
-0.98742, 0.1625243
-0.9874277, 0.1623842
-0.9874348, 0.1622816
-0.987446, 0.1622171
-0.9874505, 0.1622233
-0.9874549, 0.1622224
-0.9874678, 0.1621838
-0.9874737, 0.1621883
-0.9874794, 0.1621871
-0.9874874, 0.1621836
-0.987495, 0.1622656
-0.987498, 0.1623003
-0.987501, 0.1623264
-0.9875062, 0.16235
-0.9875109, 0.1623675
-0.9875109, 0.1623675
-0.987513, 0.1623994
-0.9875158, 0.1624659
-0.9875157, 0.1625091
-0.9875157, 0.1625091
-0.9875231, 0.1623981
-0.9875273, 0.1623108
-0.9875313, 0.1622227
-0.987539, 0.1620605
-0.987539, 0.1620605
-0.987539, 0.1620605
-0.9875461, 0.1619257
-0.9875471, 0.1619102
-0.9875484, 0.1618836
-0.9875497, 0.1618645
-0.987559, 0.161744
-0.9875641, 0.1616625
-0.987569, 0.1615908
-0.9875827, 0.1614255
-0.9875891, 0.1613555
-0.9875978, 0.1612645
-0.9875978, 0.1612645
-0.9876134, 0.1611671
-0.9876184, 0.1612309
-0.9876237, 0.1612638
-0.9876406, 0.1612987
-0.9876517, 0.1613058
-0.9876517, 0.1613058
-0.9876645, 0.1612339
-0.9876837, 0.161123
-0.9876837, 0.161123
-0.9876955, 0.1610495
-0.987709, 0.1609532
-0.9877217, 0.1608731
-0.9877365, 0.1607493
-0.9877365, 0.1607493
-0.9877638, 0.1605155
-0.9877768, 0.1604012
-0.9877918, 0.1602521
-0.9878198, 0.1599838
-0.9878331, 0.1598624
-0.987846, 0.1597417
-0.9878749, 0.1594762
-0.987886, 0.1594137
-0.9878947, 0.1594366
-0.9879165, 0.1594171
-0.9879267, 0.1594038
-0.9879389, 0.1593899
-0.9879571, 0.1594075
-0.9879571, 0.1594075
-0.9879659, 0.1594103
-0.987972, 0.1594401
-0.9879758, 0.1595024
-0.9879798, 0.1595601
-0.9879837, 0.1596125
-0.987985, 0.1596806
-0.9879891, 0.159741
-0.9879902, 0.1598139
-0.9879892, 0.1599279
-0.9879854, 0.1601589
-0.9879827, 0.1602843
-0.9879802, 0.1604068
-0.9879776, 0.1605329
-0.9879604, 0.1609007
-0.9879506, 0.1610795
-0.9879406, 0.1612491
-0.9879235, 0.16157
-0.9879168, 0.1617219
-0.9879098, 0.1618627
-0.9878827, 0.162226
-0.9878827, 0.162226
-0.9878709, 0.1623919
-0.9878502, 0.1626801
-0.9878386, 0.1628101
-0.9878254, 0.1629347
-0.9878129, 0.1630516
-0.9877961, 0.1631791
-0.9877886, 0.1632433
-0.9877814, 0.1632789
-0.9877814, 0.1632789
-0.9877652, 0.1633679
-0.9877566, 0.1634084
-0.9877483, 0.1634447
-0.987735, 0.1634718
-0.9877294, 0.1634823
-0.9877164, 0.1635044
-0.987707, 0.1635173
-0.9876982, 0.1635262
-0.987677, 0.1635671
-0.987677, 0.1635671
-0.9876695, 0.1635835
-0.9876619, 0.1635938
-0.987657, 0.163593
-0.9876469, 0.1636652
-0.9876404, 0.1636872
-0.9876317, 0.1637005
-0.9876274, 0.1637056
-0.9876257, 0.1636799
-0.9876236, 0.163668
-0.9876236, 0.163668
-0.9876143, 0.1638323
-0.9876064, 0.1639424
-0.9875963, 0.1640772
-0.9875845, 0.1642774
-0.9875735, 0.1644424
-0.9875504, 0.1647575
-0.9875429, 0.1648931
-0.987521, 0.1651615
-0.98751, 0.1652847
-0.9874992, 0.1653892
-0.9874914, 0.1654546
-0.9874809, 0.1655311
-0.9874687, 0.1656033
-0.9874572, 0.1656669
-0.9874486, 0.1656945
-0.987434, 0.1655991
-0.9874278, 0.1655219
-0.9874278, 0.1655219
-0.9874278, 0.1655219
-0.9874218, 0.1654576
-0.9874111, 0.165451
-0.987404, 0.1654279
-0.9873874, 0.1654112
-0.9873874, 0.1654112
-0.9873786, 0.1654013
-0.9873786, 0.1654013
-0.9873664, 0.1653344
-0.9873604, 0.1652984
-0.9873546, 0.1652669
-0.9873515, 0.1652218
-0.987348, 0.1651831
-0.9873472, 0.1651283
-0.9873461, 0.1650664
-0.9873425, 0.1650226
-0.9873369, 0.1649927
-0.9873317, 0.1649031
-0.9873317, 0.1649031
-0.987329, 0.1648779
-0.9873285, 0.1648173
-0.9873306, 0.1647307
-0.9873321, 0.1646439
-0.9873303, 0.1645864
-0.9873278, 0.1645822
-0.9873254, 0.1645872
-0.9873234, 0.1645989
-0.9873233, 0.1646077
-0.9873207, 0.1646383
-0.9873191, 0.1646764
-0.9873191, 0.1646764
-0.9873217, 0.1646939
-0.9873238, 0.1646955
-0.9873258, 0.1646918
-0.9873258, 0.1646918
-0.9873302, 0.1646718
-0.9873341, 0.1646494
-0.9873441, 0.1645718
-0.9873496, 0.1645302
-0.9873551, 0.1644864
-0.9873565, 0.1644641
-0.9873601, 0.1644216
-0.9873601, 0.1644216
-0.9873601, 0.1644216
-0.9873632, 0.1643876
-0.9873686, 0.164346
-0.987376, 0.1642928
-0.9873827, 0.1642409
-0.9873917, 0.164157
-0.9874032, 0.1640575
-0.9874071, 0.1640169
-0.9874133, 0.1639754
-0.9874164, 0.1639417
-0.9874223, 0.1638798
-0.9874223, 0.1638798
-0.9874301, 0.1638101
-0.9874373, 0.1637508
-0.987449, 0.1636363
-0.9874555, 0.1635722
-0.9874644, 0.1635
-0.987475, 0.1634094
-0.987497, 0.1632036
-0.9875083, 0.1630969
-0.9875192, 0.1629987
-0.9875249, 0.1629578
-0.9875442, 0.1628191
-0.9875442, 0.1628191
-0.9875659, 0.1626241
-0.9875723, 0.1625508
-0.9875723, 0.1625508
-0.9875767, 0.1625069
-0.9875858, 0.1624236
-0.9875902, 0.1623825
-0.9875902, 0.1623825
-0.9875969, 0.1623376
-0.9876063, 0.1622698
-0.9876075, 0.1622765
-0.9876037, 0.1623859
-0.9876037, 0.1624288
-0.9876007, 0.162489
-0.9876007, 0.1625278
-0.9876004, 0.1625649
-0.9876025, 0.1625782
-0.9876025, 0.1625782
-0.9876081, 0.1625767
-0.987614, 0.1625257
-0.9876218, 0.1624228
-0.987629, 0.1623066
-0.987636, 0.162227
-0.987636, 0.162227
-0.9876451, 0.1621236
-0.9876619, 0.1619153
-0.9876699, 0.1618208
-0.9876801, 0.1617145
-0.9876896, 0.1616229
-0.9876896, 0.1616229
-0.9877145, 0.1614283
-0.9877145, 0.1614283
-0.987727, 0.1613261
-0.9877416, 0.1611915
-0.9877636, 0.1610568
-0.9877725, 0.1610128
-0.9877836, 0.160966
-0.9877914, 0.1609306
-0.9878018, 0.1608925
-0.9878116, 0.1608592
-0.9878142, 0.1611477
-0.9878128, 0.161301
-0.9878141, 0.1614149
-0.9878116, 0.1616462
-0.9878106, 0.1617462
-0.987807, 0.1618577
-0.9877987, 0.1620598
-0.9877962, 0.1621462
-0.9877911, 0.1622367
-0.9877864, 0.1623202
-0.9877795, 0.1624631
-0.9877702, 0.1625854
-0.9877515, 0.1628032
-0.9877443, 0.1628977
-0.9877393, 0.1629509
-0.9877359, 0.1629191
-0.9877349, 0.1628799
-0.9877338, 0.1628697
-0.9877344, 0.162798
-0.9877306, 0.1627425
-0.9877301, 0.1626748
-0.9877301, 0.1626748
-0.9877316, 0.1625973
-0.9877328, 0.162519
-0.9877394, 0.1620869
-0.9877424, 0.1619074
-0.9877452, 0.1617387
-0.9877507, 0.1614732
-0.9877508, 0.1613854
-0.9877538, 0.1612797
-0.9877474, 0.1614091
-0.9877291, 0.1618152
-0.9877188, 0.1619995
-0.9876908, 0.1624985
-0.9876908, 0.1624985
-0.9876908, 0.1624985
-0.9876787, 0.162699
-0.9876556, 0.1630712
-0.9876396, 0.1633004
-0.9876274, 0.1635076
-0.9876014, 0.1638769
-0.9875925, 0.1638152
-0.9875834, 0.1637735
-0.9875661, 0.1637165
-0.9875578, 0.1637168
-0.9875498, 0.1637203
-0.9875396, 0.163737
-0.9875326, 0.163748
-0.9875253, 0.1636891
-0.9875225, 0.1636375
-0.9875199, 0.1636
-0.9875147, 0.1635175
-0.9875123, 0.1635006
-0.9875124, 0.163478
-0.9875121, 0.1634538
-0.9875119, 0.163448
-0.9875141, 0.1634371
-0.9875177, 0.163409
-0.9875194, 0.163392
-0.9875272, 0.1632529
-0.9875306, 0.1631922
-0.9875306, 0.1631922
-0.987534, 0.1631203
-0.9875475, 0.1629134
-0.9875521, 0.1628126
-0.9875593, 0.1626651
-0.9875618, 0.1625998
-0.9875644, 0.1625345
-0.9875668, 0.1624749
-0.9875717, 0.1624143
-0.9875845, 0.1622871
-0.9875831, 0.1623072
-0.9875758, 0.1623809
-0.9875742, 0.1623945
-0.9875748, 0.1624084
-0.9875773, 0.1623794
-0.9875789, 0.1623354
-0.9875813, 0.1623174
-0.9875808, 0.1623491
-0.9875786, 0.1624438
-0.987581, 0.1624755
-0.987578, 0.1626459
-0.9875734, 0.1627465
-0.987572, 0.1628185
-0.9875726, 0.1628024
-0.9875727, 0.162791
-0.9875753, 0.1627498
-0.9875799, 0.162666
-0.9875879, 0.1624799
-0.9875917, 0.162378
-0.9875979, 0.1621807
-0.9876034, 0.162065
-0.9876064, 0.1619594
-0.9876173, 0.1617537
-0.9876223, 0.1616693
-0.9876272, 0.1616066
-0.9876271, 0.1616356
-0.9876231, 0.161761
-0.9876221, 0.1618226
-0.9876194, 0.1620003
-0.9876205, 0.1620503
-0.9876213, 0.1621006
-0.9876245, 0.1621437
-0.9876272, 0.1621832
-0.9876323, 0.1622045
-0.9876367, 0.1622247
-0.9876411, 0.1622473
-0.9876478, 0.1622516
-0.9876539, 0.1622496
-0.9876679, 0.1621877
-0.9876754, 0.1621525
-0.9876851, 0.1620848
-0.9876942, 0.1620299
-0.9877114, 0.1619268
-0.9877172, 0.1618884
-0.9877172, 0.1618884
-0.9877208, 0.1618984
-0.9877327, 0.1618802
-0.9877406, 0.1618657
-0.9877574, 0.1618016
-0.9877662, 0.1617698
-0.9877747, 0.1617298
-0.9877781, 0.1617039
-0.9877846, 0.1616718
-0.9877929, 0.1616245
-0.9877957, 0.1616072
-0.987802, 0.1616252
-0.9878031, 0.1616472
-0.9878031, 0.1616472
-0.9878018, 0.1617069
-0.9878025, 0.1618141
-0.9878061, 0.1618452
-0.9878091, 0.1618805
-0.9878096, 0.1619198
-0.9878104, 0.1619597
-0.9878076, 0.1620962
-0.9878039, 0.1621817
-0.9877998, 0.162324
-0.9877992, 0.1623636
-0.9877934, 0.1624289
-0.987786, 0.1624971
-0.9877751, 0.1626258
-0.9877732, 0.1626396
-0.9877734, 0.1626193
-0.9877754, 0.1625187
-0.9877797, 0.1623868
-0.9877858, 0.1622372
-0.9877914, 0.1621348
-0.9878044, 0.1618873
-0.9878114, 0.1617747
-0.9878183, 0.1616732
-0.9878357, 0.161459
-0.9878357, 0.161459
-0.9878463, 0.1613494
-0.9878657, 0.1611349
-0.9878774, 0.1609119
-0.987886, 0.1607287
-0.9879029, 0.1603764
-0.987911, 0.1602515
-0.9879189, 0.16012
-0.9879338, 0.1598911
-0.9879408, 0.1598086
-0.9879428, 0.1598755
-0.9879525, 0.159898
-0.9879569, 0.1599148
-0.9879612, 0.1599332
-0.9879673, 0.1599817
-0.9879736, 0.1599862
-0.9879793, 0.159998
-0.9879833, 0.1601129
-0.9879822, 0.1602359
-0.9879839, 0.160323
-0.9879827, 0.1604331
-0.9879786, 0.1606734
-0.9879786, 0.1606734
-0.9879734, 0.16082
-0.9879666, 0.1610832
-0.9879642, 0.1611983
-0.9879593, 0.1613123
-0.9879574, 0.1614102
-0.9879575, 0.1614977
-0.9879573, 0.1615432
-0.987957, 0.1615896
-0.9879519, 0.1616218
-0.9879454, 0.161682
-0.9879369, 0.1617527
-0.9879315, 0.1618067
-0.9879185, 0.1619502
-0.9879158, 0.1619844
-0.9879158, 0.1619844
-0.9879052, 0.1620592
-0.9878955, 0.1621675
-0.9878844, 0.1623354
-0.9878595, 0.1627062
-0.9878503, 0.1628579
-0.9878435, 0.1629862
-0.987834, 0.1631074
-0.9878244, 0.1631826
-0.9878134, 0.163252
-0.9878056, 0.1632644
-0.9877927, 0.1632982
-0.9877628, 0.16344
-0.9877504, 0.1634998
-0.9877405, 0.1635532
-0.9877304, 0.1636024
-0.9877182, 0.1635828
-0.987713, 0.1635794
-0.987708, 0.1635763
-0.9877031, 0.1635671
-0.9877031, 0.1635671
-0.9877031, 0.1635671
-0.9876894, 0.1635712
-0.9876782, 0.1636213
-0.9876706, 0.1636565
-0.9876603, 0.1637082
-0.9876441, 0.1637645
-0.9876397, 0.1637539
-0.9876374, 0.1636304
-0.9876373, 0.1634538
-0.9876364, 0.1632252
-0.9876364, 0.1632252
-0.987636, 0.1631235
-0.9876307, 0.163105
-0.9876263, 0.1630816
-0.9876112, 0.1632505
-0.9876083, 0.1633037
-0.9876047, 0.1633572
-0.9876037, 0.1634006
-0.9876056, 0.1634668
-0.9876087, 0.1634512
-0.9876113, 0.163426
-0.9876164, 0.1632326
-0.9876233, 0.163045
-0.9876322, 0.1628452
-0.9876484, 0.1625715
-0.9876561, 0.1624527
-0.9876636, 0.1623314
-0.9876755, 0.1621538
-0.9876779, 0.1621128
-0.9876831, 0.1620546
-0.9876877, 0.1620093
-0.9876897, 0.1620074
-0.9876969, 0.1619859
-0.9877036, 0.1619631
