Valence, Arousal
0.653045, -0.7091413
0.6529763, -0.7094465
0.6529127, -0.7098087
0.6527697, -0.7104164
0.6527038, -0.7108641
0.6526024, -0.7112056
0.6523523, -0.71136
0.6522352, -0.711603
0.6521279, -0.7118503
0.6520063, -0.712062
0.6518534, -0.7121709
0.6515534, -0.7122186
0.6514146, -0.7122229
0.6511375, -0.7121232
0.6509955, -0.7119914
0.6508724, -0.7118891
0.650588, -0.7117243
0.650588, -0.7114154
0.6503134, -0.7111757
0.6501973, -0.7109691
0.6500784, -0.7108724
0.6500515, -0.7108539
0.650032, -0.7109483
0.6500209, -0.7111427
0.6500089, -0.7112763
0.6500183, -0.7113435
0.6500276, -0.7113562
0.6500888, -0.7113276
0.6501067, -0.7112976
0.6502581, -0.7112681
0.6503537, -0.7112182
0.6504844, -0.7111608
0.6504844, -0.7111381
0.650502, -0.7111243
0.6504771, -0.7111231
0.6504687, -0.7111304
0.650409, -0.711237
0.6503478, -0.7112879
0.6503008, -0.7115015
0.6502516, -0.7115616
0.6501228, -0.7117168
0.6500496, -0.7118586
0.6499623, -0.7119111
0.6498307, -0.7119006
0.6497732, -0.7118808
0.6497266, -0.7115907
0.6496031, -0.7115194
0.6495447, -0.7113625
0.6494585, -0.7112113
0.6493124, -0.7110711
0.6492453, -0.7109006
0.6491777, -0.7107858
0.649079, -0.7104738
0.6490549, -0.7101555
0.6490527, -0.7098631
0.6490312, -0.7095932
0.6490135, -0.7093052
0.6489814, -0.7090458
0.6489642, -0.7088181
0.6489447, -0.7086486
0.6489831, -0.7085662
0.6490631, -0.7085584
0.6491135, -0.7086825
0.6492169, -0.7088497
0.6492748, -0.7089589
0.6493319, -0.7090396
0.649416, -0.7091209
0.64957, -0.709163
0.6497492, -0.7092239
0.6498395, -0.7092913
0.6499224, -0.7094025
0.6500469, -0.7097778
0.6501274, -0.7100791
0.6502345, -0.7103881
0.6504052, -0.7105896
0.6504574, -0.7109444
0.6504932, -0.7112945
0.6504944, -0.7114547
0.6505228, -0.7117653
0.6505437, -0.7119122
0.6505629, -0.7121762
0.6505718, -0.7124032
0.6505828, -0.7125762
0.6506277, -0.7127532
0.6508158, -0.7128314
0.6512244, -0.7129131
0.651396, -0.7129507
0.651533, -0.7129759
0.6516661, -0.7129759
0.6520388, -0.7130672
0.6522684, -0.7131923
0.6526306, -0.7133053
0.6528078, -0.7133949
0.6529682, -0.7134331
0.6532665, -0.7134221
0.6534176, -0.7133251
0.6535681, -0.7131288
0.6538538, -0.7129449
0.6539945, -0.7127111
0.6541278, -0.7126189
0.6542826, -0.7122832
0.6544243, -0.7121707
0.6546858, -0.7119943
0.6548057, -0.7118431
0.6549003, -0.7117218
0.6550917, -0.7116246
0.6552281, -0.7115653
0.655363, -0.7115615
0.65561, -0.7115825
0.6557668, -0.7116436
0.6566022, -0.711727
0.6573161, -0.7119409
0.6580426, -0.7120183
0.6596901, -0.7118279
0.6606622, -0.7117047
0.6617233, -0.7112609
0.6639917, -0.7101998
0.6639917, -0.7097947
0.6662007, -0.7088166
0.6673067, -0.7085699
0.6696641, -0.7082469
0.6708424, -0.708248
0.6720659, -0.7084076
0.6733468, -0.7089788
0.6759419, -0.7093382
0.6772129, -0.7094837
0.6784788, -0.7097633
0.6784788, -0.710047
0.6809751, -0.7102648
0.6821707, -0.7104766
0.6833408, -0.7106777
0.6855279, -0.7108846
0.6865113, -0.711045
0.6873882, -0.7113068
0.6889909, -0.7115198
0.68964, -0.7117386
0.6902255, -0.7117994
0.6911776, -0.7119116
0.6915274, -0.7120147
0.6918092, -0.7120605
0.6920541, -0.7120657
0.6921365, -0.71207
0.6920851, -0.7120591
0.6919798, -0.7120809
0.6917678, -0.7120834
0.691686, -0.7120435
0.6913999, -0.7120129
0.6912223, -0.7118176
0.6909614, -0.7117345
0.6903548, -0.7115917
0.690005, -0.7114359
0.6897123, -0.7112589
