Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683443981166850,3538146,0.3436916,0.6844401,0.3961224,0.4743761,OK
1683443981173960,3538154,0.3453829,0.6876169,0.3948082,0.4744076,OK
1683443981181962,3538162,0.3473179,0.6863449,0.3961253,0.4751741,OK
1683443981190469,3538171,0.3523041,0.6840904,0.396763,0.4753783,OK
1683443981199477,3538179,0.3517338,0.6850066,0.3952063,0.4751535,OK
1683443981206985,3538187,0.3511636,0.6840904,0.3949885,0.4747862,OK
1683443981215493,3538196,0.350157,0.6850066,0.3952063,0.4744189,OK
1683443981223998,3538204,0.3491504,0.6859227,0.3949885,0.4741848,OK
1683443981232000,3538212,0.3483835,0.6861003,0.3947707,0.4741206,OK
1683443981240505,3538221,0.3483333,0.6859227,0.3947366,0.4741444,OK
1683443981249018,3538229,0.347975,0.6860425,0.3947026,0.4741682,OK
1683443981257527,3538237,0.3476167,0.6861624,0.3946015,0.4742447,OK
1683443981266033,3538246,0.3473994,0.6862202,0.3947026,0.4743211,OK
1683443981274538,3538254,0.3471821,0.6862779,0.3942567,0.4748247,OK
1683443981283043,3538262,0.3473994,0.6863897,0.3946346,0.4739576,OK
1683443981291048,3538271,0.3471821,0.6865016,0.3936982,0.4749016,OK
1683443981299061,3538279,0.346891,0.6864318,0.3932265,0.4747542,OK
1683443981307576,3538287,0.3465999,0.6863621,0.3932213,0.4752021,OK
1683443981316083,3538296,0.3463964,0.6865016,0.3932265,0.47565,OK
1683443981324589,3538304,0.3462254,0.6869264,0.3932213,0.4756241,OK
1683443981331594,3538312,0.3462254,0.6869264,0.3932265,0.47565,OK
1683443981341104,3538321,0.3439537,0.6865016,0.3932649,0.4757591,OK
1683443981349147,3538329,0.3439537,0.6869264,0.3932265,0.47565,OK
1683443981357655,3538337,0.3438159,0.6870049,0.3932213,0.4756241,OK
1683443981366162,3538346,0.3438159,0.6870049,0.3932265,0.4755982,OK
1683443981373666,3538354,0.3438159,0.6874046,0.3932649,0.4751898,OK
1683443981381668,3538362,0.3432292,0.6870049,0.3933033,0.4755982,OK
1683443981390172,3538371,0.3439537,0.6870049,0.3933119,0.4754952,OK
1683443981399301,3538379,0.3444962,0.6869264,0.3933205,0.4753922,OK
1683443981407720,3538387,0.3444962,0.6869264,0.3933119,0.4750868,OK
1683443981415227,3538396,0.3453633,0.6869264,0.3933205,0.4747815,OK
1683443981423730,3538404,0.3460486,0.6876989,0.393407,0.4753922,OK
1683443981432732,3538412,0.3462254,0.6879864,0.393615,0.4748604,OK
1683443981440240,3538421,0.3462254,0.6877074,0.3937057,0.4748604,OK
1683443981448747,3538429,0.3460486,0.6877074,0.3939075,0.4748604,OK
1683443981457264,3538437,0.3453633,0.6879864,0.3939075,0.4748604,OK
1683443981465773,3538446,0.3453633,0.6879864,0.3939851,0.4748604,OK
1683443981473810,3538454,0.3451835,0.6879864,0.3939851,0.4751655,OK
1683443981483315,3538462,0.3451835,0.6877074,0.394054,0.4753922,OK
1683443981490320,3538471,0.3451835,0.6879864,0.3940713,0.4757964,OK
1683443981499333,3538479,0.3451835,0.6879864,0.3941621,0.4757964,OK
1683443981507843,3538487,0.3453633,0.6879864,0.3948601,0.4757964,OK
1683443981516353,3538496,0.3453633,0.6882445,0.3951401,0.4758843,OK
1683443981523860,3538504,0.3465218,0.6882445,0.3958748,0.4758986,OK
1683443981532865,3538512,0.3465218,0.6882445,0.3958748,0.4760146,OK
1683443981540374,3538521,0.3467216,0.6882445,0.3958799,0.4760146,OK
1683443981548885,3538529,0.3474409,0.6877074,0.396062,0.4760146,OK
1683443981557922,3538537,0.3474409,0.6877074,0.396062,0.4765494,OK
1683443981565969,3538546,0.3475178,0.6876171,0.3961754,0.4766276,OK
1683443981574474,3538554,0.3484916,0.6876171,0.3962153,0.4768398,OK
1683443981581476,3538562,0.3484916,0.6876171,0.3962153,0.4773463,OK
1683443981590983,3538571,0.3486997,0.6876171,0.3962554,0.4773463,OK
1683443981598495,3538579,0.3487986,0.6875951,0.3964722,0.4775844,OK
1683443981607005,3538587,0.349131,0.6875951,0.3964722,0.4776444,OK
1683443981615512,3538596,0.3497967,0.6875951,0.3964722,0.4776593,OK
1683443981624019,3538604,0.3498608,0.6871041,0.3964804,0.4777235,OK
1683443981632023,3538612,0.3498608,0.6875951,0.3965484,0.4778146,OK
1683443981640534,3538621,0.3498608,0.6875951,0.3965484,0.4778146,OK
1683443981649048,3538629,0.3502596,0.6878833,0.3965852,0.4778146,OK
1683443981657353,3538637,0.3498608,0.6884211,0.396706,0.4778687,OK
